idx,incl,period_sec,dPdt_true,err_incl,err_period_sec,err_dPdt,cov_incl_incl,cov_incl_logP,cov_incl_dPdt,cov_logP_logP,cov_logP_dPdt,cov_dPdt_dPdt
15,89.31639323732689,4417.81921939888,-3.7069931676778256e-13,1.063402324723977,2.585552022214674e-05,3.90069291388579e-16,1.1308245042283585,3.903105144139417e-13,1.6322581859916847e-17,3.425237422316156e-17,-1.9796399212108713e-28,1.5215405208438815e-31
38,88.6129006144808,1797.5671858837077,-1.8860928001390702e-12,0.03244940735925102,1.2061784316320115e-05,4.1272123393088644e-17,0.001052964037966614,5.413779559866885e-15,9.062340689042554e-21,4.502491001905407e-17,-2.078105157815734e-27,1.7033881693743347e-33
54,85.42109876169282,255.15733409813095,-5.116482281351031e-11,0.0242414361902033,1.2998013747103548e-06,8.685105260766e-19,0.0005876472285636982,6.267059759229182e-14,-3.503988968214338e-24,2.595003046159833e-17,-6.781214243743109e-29,7.543105339058526e-37
122,89.21717561852923,2453.4660728958856,-6.641985406054795e-13,0.0038720686292109344,5.005150633082504e-06,3.054789355034564e-17,1.4992915469319444e-05,3.767550733730501e-15,-6.33172962418121e-21,4.161732778541997e-18,5.549932839467086e-28,9.331738003632488e-34
146,83.89145450971262,1305.7047343842162,-1.7074662218062306e-12,0.14045960007170466,9.076257497538517e-06,2.1553022586028506e-17,0.019728899252303218,4.47256124297899e-13,2.8228261961040353e-20,4.8319636596213696e-17,4.919115789432915e-27,4.645327825938549e-34
147,88.57525355783696,858.8003265682734,-3.5233718761340057e-12,0.008456405623842943,2.1249368012270673e-06,2.812156117862302e-18,7.151079607496255e-05,-1.2444551060147567e-14,1.1503646285442706e-22,6.1222017084066416e-18,-2.2871059618345436e-28,7.908222031230375e-36
152,88.47575986585038,1837.157504853379,-1.8806681199323685e-12,0.05479180676749269,1.2875231511879784e-05,4.333856250900407e-17,0.0030021420888462582,3.765232376524076e-14,1.2463189249614037e-19,4.911535770729648e-17,1.394443841900482e-27,1.878231000346853e-33
165,89.3871867567165,1704.2342330017818,-1.1637981583247642e-12,0.014207627284603638,2.385351554031281e-06,7.569753431644555e-18,0.00020185667305821375,4.814754836884853e-15,3.3343268495443775e-20,1.959053154126921e-18,-1.0123536443829702e-30,5.730116701589452e-35
196,87.9065560214416,365.9151594291265,-1.5026175137741616e-11,0.009315843673447533,4.908079671838576e-07,2.912224165480969e-19,8.678494334811244e-05,1.7721478282641313e-14,-8.038371295430439e-24,1.79912941242632e-18,-6.561399345418518e-30,8.481049590011325e-38
275,88.5776931552309,1446.9626011329058,-2.023197246587624e-12,0.008827069756499249,3.798757340895503e-06,9.434484821257468e-18,7.79171604861037e-05,-2.608922848457497e-15,1.6328220472048214e-21,6.892368550529325e-18,-2.0182754630977738e-29,8.900950384253756e-35
279,89.81877489407262,4401.745073557098,-3.8273094962519673e-13,0.03925811816456824,2.7966584331549794e-05,4.22136534980224e-16,0.0015411998418232028,-6.16383031065801e-13,1.4162167925939353e-19,4.0367242290373706e-17,4.9026496866005285e-29,1.7819925416510989e-31
355,87.5736175766057,1651.5628039246167,-1.0395998041533573e-12,0.11289245528675168,4.194247293226082e-06,3.047701276617603e-17,0.012744706460671228,-1.0017526638458259e-12,-7.077695561867602e-19,6.4493787062216915e-18,1.399116031783736e-27,9.288483071496567e-34
387,88.80387571103687,976.78008710337,-5.8622422599876735e-12,0.022523108897018557,6.203312548661722e-06,8.899929489872445e-18,0.0005072904343869564,1.825446497703152e-15,-5.80189054422531e-21,4.033236899041914e-17,2.3929799167876713e-28,7.920874492470121e-35
392,86.19999359985363,365.15391074481664,-1.562561114205091e-11,0.009718046882619175,6.972754542600637e-07,4.290366453222789e-19,9.444043521278425e-05,6.442477739399981e-15,2.8430226621837485e-23,3.646337317154049e-18,-3.148213224019474e-29,1.8407244302939492e-37
432,85.28598275351645,697.8054057131013,-4.868471365481236e-12,0.02420415825533344,1.869852732002924e-06,2.102388586648796e-18,0.0005858412768492258,-1.9183921053867204e-14,-8.12228872610349e-22,7.180358818850081e-18,1.6250726791235032e-28,4.4200377692711215e-36
520,87.02960449046543,1166.3889948161807,-2.222139422648085e-12,0.014780645908836012,3.0861027486284195e-06,6.736106838171302e-18,0.00021846749348239071,-3.884124955137304e-15,-2.695167098521575e-22,7.000578600320327e-18,5.702259657862238e-28,4.537513533525817e-35
537,89.52018554304959,4209.51592875746,-5.413527979084635e-13,0.015803594071066664,3.435802978265222e-05,3.8207789683191106e-16,0.00024975358556305336,9.124276063404483e-14,9.971237035445154e-21,6.66180918791071e-17,-1.6728398584068633e-27,1.4598351924749648e-31
542,89.30669645531017,2561.9303227314886,-1.0219021088155852e-12,0.01868595733464388,1.798692936449739e-05,1.08429122846857e-16,0.0003491650015121314,5.991440541300322e-14,3.701223176774783e-20,4.929233942592899e-17,8.856625364731835e-30,1.1756874681338808e-32
546,88.62623497473372,1734.3925932704271,-1.1780823298518447e-12,0.005379352360010355,3.3029241618214556e-06,5.865186215797569e-18,2.893743181314898e-05,-3.115547316123579e-15,-6.758918124849468e-22,3.626622766881107e-18,-2.392064355456599e-30,3.440040934598181e-35
607,87.61680724138944,1638.893428753742,-1.319616108584287e-12,0.012244753431633011,4.1570966847891355e-06,2.0670712620881387e-17,0.0001499339866014884,3.614754408886536e-15,2.3002840687799797e-21,6.433966908317829e-18,4.484848999458532e-28,4.272783602550651e-34
638,88.93277445162919,4399.176688810684,-4.690878644952545e-13,0.05850837132147963,4.2810592278281234e-05,5.035739363515302e-16,0.00342322951469214,-7.182146256636122e-13,-2.4091702949705988e-18,9.470211141190232e-17,5.4666995848364745e-28,2.53586709372575e-31
639,89.28102879522751,1326.9436259402057,-1.8155579502470895e-12,0.005546394284906505,2.0692294796753757e-06,4.0263943030493325e-18,3.0762489563643545e-05,2.3916623751091605e-16,-1.097261939050164e-22,2.4317132927453426e-18,5.445498243361761e-29,1.621185108362812e-35
643,89.63060980906417,6140.035175876069,-3.007203565516088e-13,0.01919049167376375,5.7075633703005786e-05,8.976519299118635e-16,0.00036827497068079576,-6.924420156459231e-13,-1.2948327683507436e-19,8.640915652193712e-17,-3.0619055224718093e-29,8.057789872744929e-31
655,86.20174884780329,1546.0052678778181,-1.885418093220151e-12,0.21181098833775475,1.420230652739472e-05,4.406530845161996e-17,0.04486389478061648,-1.3416035966226736e-12,-8.606228766850902e-21,8.439094006844279e-17,-1.2033403630688747e-27,1.9417514089364094e-33
662,89.24762256623369,1897.7121102270046,-1.3471961493957922e-12,0.014829656766257804,9.329115731561832e-06,4.117297375702539e-17,0.00021991871980501588,1.3644915998543375e-15,-8.317726492578643e-21,2.416686429229629e-17,-3.3727092114761475e-29,1.6952137679967017e-33
670,88.46877447145958,4561.478277226696,-3.87689448351474e-13,0.30531860571386105,5.1899377284076714e-05,8.168523720909635e-16,0.09321945099505614,2.1486832095887185e-11,2.2901109333065668e-17,1.29453283936651e-16,3.354331341179897e-27,6.672477977906339e-31
679,88.56056175387826,2512.732511053573,-1.1244460072125143e-12,0.10316579140392577,2.078727903604119e-05,1.2546114028699062e-16,0.010643180515998324,-5.088176836259955e-13,-9.13008084515387e-19,6.843886109655512e-17,4.173638580524716e-28,1.574049772211194e-32
712,78.60915226372056,628.5352002795222,-5.800328900299326e-12,0.28189508280530967,7.842909295063258e-06,7.328808324853352e-18,0.07946483770981239,-3.8383702349075445e-12,2.6296330208318763e-20,1.5570235276089912e-16,8.598631712787775e-27,5.371143146243979e-35
755,82.98808690629025,664.7869922806029,-5.8018172861677946e-12,0.06107943532508904,2.85846530960333e-06,2.8989168406125756e-18,0.003730697419631735,-2.0362277385304772e-14,1.7349950682500204e-21,1.848846373237564e-17,-6.891045628518648e-28,8.403718848787198e-36
809,89.43517094686527,7773.062706262228,-1.6548335255637657e-13,0.04252885169294028,5.175209202670736e-05,1.853615564778768e-15,0.0018087032263201096,1.0628138395434921e-12,3.907212842269202e-18,4.43273203486239e-17,-1.84537964541452e-28,3.43589066199011e-30
839,84.04363132642919,504.75227852348894,-8.879387158260054e-12,0.024397254343961037,1.3861806474324268e-06,9.574898901866647e-19,0.0005952260195239257,1.0052575586688164e-13,-2.5339872652259578e-23,7.541940233601162e-18,7.413840147570644e-29,9.16786889809671e-37
854,84.51600551908328,1194.345792055334,-2.0173000483266547e-12,0.07352344599561926,6.370445023331113e-06,1.5962826576308105e-17,0.005405697111070741,6.578470841771872e-14,-1.1249225579140337e-21,2.844981041577108e-17,-1.1717806441948673e-27,2.5481183230528834e-34
