source_idx,r_mag_observed,distance_kpc,n_obs,err_co_latitude_rad,err_longitude_rad,err_distance_abs_kpc
15,21.908057498062814,1.594284471782591,178,5.317106810131052e-09,5.317106810131052e-09,1.9866555398569508
38,21.67247192974355,1.572581421646764,211,4.569130112099913e-09,4.569130112099913e-09,1.8164136710838876
54,22.726371926392517,2.2491415734429845,59,1.6803073916476757e-08,1.6803073916476757e-08,5.884136502081321
122,20.52552368894044,1.053143294514125,184,3.574093875672324e-09,3.574093875672324e-09,0.5545553993900325
146,21.132832285226268,1.2418455557076558,187,4.088212219866365e-09,4.088212219866365e-09,0.9662784994722156
147,22.362094259075324,2.87685193374286,174,7.64236911319618e-09,7.64236911319618e-09,8.11941784186598
152,21.099704303023216,1.1256507250275316,185,4.063018428294392e-09,4.063018428294392e-09,0.7855205890379737
165,23.91241774363446,8.922264467406158,173,2.5888029188012038e-08,2.5888029188012038e-08,329.5564497579079
196,24.56983257504211,5.407391938881348,176,3.59970666254102e-08,3.59970666254102e-08,167.18192801764985
275,22.133552988603583,1.628437653034381,179,6.209823998148412e-09,6.209823998148412e-09,2.29852587310956
279,20.78225778291397,1.0224131556291132,167,3.751600898929553e-09,3.751600898929553e-09,0.5226643304017405
355,21.720706341964743,1.5172266095870381,181,5.002803443326871e-09,5.002803443326871e-09,1.7129957756529457
387,21.807428253570947,1.5500021311479915,60,8.906260279098205e-09,8.906260279098205e-09,1.8294743066440056
392,21.943588289155123,2.6321834194581744,172,5.4615903094843806e-09,5.4615903094843806e-09,5.4645431813119565
432,22.930048005675097,1.8219114118972815,20,3.2393033928869504e-08,3.2393033928869504e-08,4.199071582981431
520,22.529946362025658,2.4929842062137784,66,1.4011515695415242e-08,1.4011515695415242e-08,6.618776639631912
537,20.714008860738417,0.836705117544014,180,3.6135878246094267e-09,3.6135878246094267e-09,0.35003772686217116
542,21.484602547320062,1.5406478504375938,166,4.868573584086841e-09,4.868573584086841e-09,1.6542075935411258
546,18.61663407013751,0.7532106879286765,172,3.6966696623445772e-09,3.6966696623445772e-09,0.28366317020499504
607,22.864621451545517,7.257622950828009,190,1.014149790609532e-08,1.014149790609532e-08,64.90961487121925
638,21.296581841026885,1.2591981888168802,164,4.613449629838458e-09,4.613449629838458e-09,1.045398899000276
639,23.94701055818584,5.98525128663602,181,2.5845483720646065e-08,2.5845483720646065e-08,151.27525590917395
643,18.465068490396813,0.41912375445289884,172,3.6966696623445772e-09,3.6966696623445772e-09,0.08783236077334693
655,22.165931473578734,1.8015565294153366,158,6.8094443244395534e-09,6.8094443244395534e-09,2.86575883014402
662,21.86090745562013,1.3937879659744081,162,5.501659508176786e-09,5.501659508176786e-09,1.5000744310468126
670,21.348462956104424,1.7432556585672834,171,4.594974559669641e-09,4.594974559669641e-09,2.035155798130292
679,21.900768170768014,2.584644503040667,162,5.562392186926213e-09,5.562392186926213e-09,5.211728357171004
712,21.550221793743496,1.8827848190841074,73,7.49059913359501e-09,7.49059913359501e-09,2.517021105613551
755,22.888340909558135,3.9043501606565227,171,1.0830779839268099e-08,1.0830779839268099e-08,18.966072424370697
809,20.993450526977814,1.4414956176960432,161,3.820867071695102e-09,3.820867071695102e-09,1.0389548079184485
839,23.63547559880323,5.210884967482233,182,2.0960289492873066e-08,2.0960289492873066e-08,94.36163493944774
